               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11675,            0.016064,            0.030665,            0.021702,            0.018066,            0.018337,           0.0048349,            0.091915,            0.012411,            0.028315,              0.0892,              0.0012,              0.0012
                   1,            0.093433,            0.022131,            0.028473,             0.09921,             0.10923,            0.057451,            0.015495,            0.075907,            0.013411,            0.023503,            0.077495,            0.002495,            0.002495
                   2,            0.077711,            0.023684,            0.024547,             0.28558,             0.39144,             0.23581,            0.089287,            0.065499,             0.01264,            0.018337,            0.065785,            0.003785,            0.003785
                   3,             0.07188,            0.022012,            0.019763,             0.23216,             0.41208,             0.18766,            0.068538,            0.067199,            0.012146,            0.013691,             0.05407,           0.0050697,           0.0050697
                   4,            0.065664,            0.021427,            0.016129,             0.31359,             0.53484,             0.30237,             0.13741,            0.062733,            0.011981,           0.0098913,            0.042349,           0.0063493,           0.0063493
                   5,            0.063558,            0.018685,            0.012577,             0.45006,              0.5824,              0.5135,             0.25206,            0.061307,           0.0099208,           0.0061901,            0.030624,           0.0076238,           0.0076238
                   6,            0.062375,            0.019606,           0.0097306,             0.53199,             0.59789,             0.60398,             0.26622,            0.057662,           0.0094485,           0.0047249,            0.018893,           0.0088931,           0.0088931
                   7,            0.067075,            0.017056,           0.0074934,              0.4716,             0.63618,             0.55746,             0.23375,            0.065448,           0.0082517,           0.0041742,           0.0098614,           0.0098614,           0.0098614
                   8,            0.062946,            0.017629,           0.0069919,              0.6016,             0.56079,             0.59484,             0.28458,            0.063105,           0.0076584,           0.0037003,           0.0098614,           0.0098614,           0.0098614
                   9,            0.059426,            0.017545,           0.0063801,             0.59986,              0.6154,             0.63468,             0.35213,            0.057617,           0.0077712,            0.003662,           0.0098416,           0.0098416,           0.0098416
                  10,            0.055602,            0.016146,           0.0054172,             0.48791,             0.58436,             0.55139,             0.24314,            0.054773,           0.0079586,           0.0033598,           0.0098218,           0.0098218,           0.0098218
                  11,            0.052783,            0.018358,            0.004468,             0.46466,             0.76815,             0.58452,             0.29938,            0.047098,           0.0081551,           0.0018851,            0.009802,            0.009802,            0.009802
                  12,            0.052788,            0.016008,           0.0041712,             0.60654,             0.68249,             0.68741,             0.35204,            0.054572,           0.0070801,           0.0018598,           0.0097822,           0.0097822,           0.0097822
                  13,             0.04903,            0.015861,           0.0037605,             0.79771,             0.77136,             0.85458,             0.47825,            0.039252,           0.0069723,            0.001834,           0.0097624,           0.0097624,           0.0097624
                  14,            0.046238,            0.016173,           0.0049901,             0.61717,             0.77119,             0.71799,             0.43279,            0.045446,           0.0066827,            0.001557,           0.0097426,           0.0097426,           0.0097426
                  15,            0.044622,            0.015626,           0.0036933,             0.68748,             0.69359,             0.76679,             0.50085,            0.042961,           0.0064929,           0.0016179,           0.0097228,           0.0097228,           0.0097228
                  16,            0.043936,            0.014751,           0.0035195,             0.74702,             0.83427,             0.80232,             0.54395,            0.038234,           0.0062325,            0.001749,            0.009703,            0.009703,            0.009703
                  17,            0.044905,             0.01492,           0.0036953,             0.71867,               0.831,             0.83096,             0.51819,            0.036785,           0.0062036,           0.0015531,           0.0096832,           0.0096832,           0.0096832
                  18,             0.04056,            0.015372,           0.0030759,             0.88602,             0.88191,             0.94765,               0.539,            0.037021,           0.0060376,           0.0015639,           0.0096634,           0.0096634,           0.0096634
                  19,            0.041616,            0.016267,           0.0033758,             0.81676,              0.8739,             0.89189,             0.58124,            0.032566,           0.0058296,           0.0016214,           0.0096436,           0.0096436,           0.0096436
                  20,            0.040808,             0.01396,           0.0031908,             0.91701,             0.89404,             0.97377,             0.59899,            0.031043,           0.0054984,           0.0012237,           0.0096238,           0.0096238,           0.0096238
                  21,            0.038045,            0.014077,           0.0034833,             0.87263,             0.91492,             0.95344,             0.69658,            0.033596,           0.0054731,           0.0011139,            0.009604,            0.009604,            0.009604
                  22,            0.037712,            0.014064,           0.0031673,             0.84229,             0.89928,             0.93578,             0.65252,            0.028008,           0.0055514,           0.0011292,           0.0095842,           0.0095842,           0.0095842
                  23,            0.034953,            0.012788,           0.0027593,             0.92013,             0.92266,             0.97326,             0.58037,            0.034438,           0.0055015,           0.0011498,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037944,            0.013151,           0.0038068,             0.74096,             0.95457,             0.86439,             0.52808,            0.035571,           0.0057982,           0.0012098,           0.0095446,           0.0095446,           0.0095446
                  25,            0.038155,            0.014468,           0.0028546,             0.95943,             0.94377,             0.98603,             0.66145,            0.030851,            0.005357,           0.0011457,           0.0095248,           0.0095248,           0.0095248
                  26,            0.036938,            0.012803,           0.0031811,             0.70883,             0.93909,             0.79259,             0.54126,            0.033468,           0.0056603,           0.0011441,            0.009505,            0.009505,            0.009505
